location,date,new_cases
Benguet,2020-04-08,0
Benguet,2020-04-09,1
Benguet,2020-04-10,0
Benguet,2020-04-11,1
Benguet,2020-04-12,0
Benguet,2020-04-13,2
Benguet,2020-04-14,0
Benguet,2020-04-15,1
Benguet,2020-04-16,1
Benguet,2020-04-17,0
Benguet,2020-04-18,0
Benguet,2020-04-19,0
Benguet,2020-04-20,0
Benguet,2020-04-21,1
Benguet,2020-04-22,0
Benguet,2020-04-23,0
Benguet,2020-04-24,0
Benguet,2020-04-25,2
Benguet,2020-04-26,7
Benguet,2020-04-27,6
Benguet,2020-04-28,1
Benguet,2020-04-29,0
Benguet,2020-04-30,0
Benguet,2020-05-01,0
Benguet,2020-05-02,0
Benguet,2020-05-03,0
Benguet,2020-05-04,0
Benguet,2020-05-05,0
Benguet,2020-05-06,0
Benguet,2020-05-07,0
Benguet,2020-05-08,0
Benguet,2020-05-09,0
Benguet,2020-05-10,0
Benguet,2020-05-11,0
Benguet,2020-05-12,1
Benguet,2020-05-13,1
Bohol,2020-02-05,1
Bukidnon,2020-04-10,1
Bulacan,2020-03-09,1
Bulacan,2020-03-10,0
Bulacan,2020-03-11,0
Bulacan,2020-03-12,0
Bulacan,2020-03-13,0
Bulacan,2020-03-14,1
Bulacan,2020-03-15,1
Bulacan,2020-03-16,0
Bulacan,2020-03-17,1
Bulacan,2020-03-18,0
Bulacan,2020-03-19,0
Bulacan,2020-03-20,0
Bulacan,2020-03-21,2
Bulacan,2020-03-22,1
Bulacan,2020-03-23,6
Bulacan,2020-03-24,0
Bulacan,2020-03-25,0
Bulacan,2020-03-26,0
Bulacan,2020-03-27,1
Bulacan,2020-03-28,7
Bulacan,2020-03-29,3
Bulacan,2020-03-30,1
Bulacan,2020-03-31,8
Bulacan,2020-04-01,3
Bulacan,2020-04-02,7
Bulacan,2020-04-03,6
Bulacan,2020-04-04,1
Bulacan,2020-04-05,4
Bulacan,2020-04-06,6
Bulacan,2020-04-07,0
Bulacan,2020-04-08,1
Bulacan,2020-04-09,7
Bulacan,2020-04-10,4
Bulacan,2020-04-11,4
Bulacan,2020-04-12,5
Bulacan,2020-04-13,4
Bulacan,2020-04-14,7
Bulacan,2020-04-15,3
Bulacan,2020-04-16,2
Bulacan,2020-04-17,3
Bulacan,2020-04-18,2
Bulacan,2020-04-19,1
Bulacan,2020-04-20,2
Bulacan,2020-04-21,0
Bulacan,2020-04-22,1
Bulacan,2020-04-23,2
Bulacan,2020-04-24,1
Bulacan,2020-04-25,0
Bulacan,2020-04-26,3
Bulacan,2020-04-27,2
Bulacan,2020-04-28,2
Bulacan,2020-04-29,7
Bulacan,2020-04-30,1
Bulacan,2020-05-01,0
Bulacan,2020-05-02,0
Bulacan,2020-05-03,2
Bulacan,2020-05-04,2
Bulacan,2020-05-05,0
Bulacan,2020-05-06,1
Bulacan,2020-05-07,2
Bulacan,2020-05-08,0
Bulacan,2020-05-09,0
Bulacan,2020-05-10,1
Bulacan,2020-05-11,4
Bulacan,2020-05-12,0
Bulacan,2020-05-13,0
Bulacan,2020-05-14,3
Bulacan,2020-05-15,2
Cagayan,2020-03-21,1
Cagayan,2020-03-22,0
Cagayan,2020-03-23,0
Cagayan,2020-03-24,0
Cagayan,2020-03-25,0
Cagayan,2020-03-26,2
Cagayan,2020-03-27,0
Cagayan,2020-03-28,3
Cagayan,2020-03-29,2
Cagayan,2020-03-30,0
Cagayan,2020-03-31,0
Cagayan,2020-04-01,2
Cagayan,2020-04-02,0
Cagayan,2020-04-03,1
Cagayan,2020-04-04,0
Cagayan,2020-04-05,1
Cagayan,2020-04-06,0
Cagayan,2020-04-07,1
Cagayan,2020-04-08,1
Cagayan,2020-04-09,0
Cagayan,2020-04-10,0
Cagayan,2020-04-11,0
Cagayan,2020-04-12,0
Cagayan,2020-04-13,0
Cagayan,2020-04-14,0
Cagayan,2020-04-15,0
Cagayan,2020-04-16,0
Cagayan,2020-04-17,0
Cagayan,2020-04-18,0
Cagayan,2020-04-19,0
Cagayan,2020-04-20,0
Cagayan,2020-04-21,0
Cagayan,2020-04-22,0
Cagayan,2020-04-23,0
Cagayan,2020-04-24,0
Cagayan,2020-04-25,0
Cagayan,2020-04-26,0
Cagayan,2020-04-27,0
Cagayan,2020-04-28,1
Cagayan,2020-04-29,0
Cagayan,2020-04-30,0
Cagayan,2020-05-01,2
Camarines Norte,2020-05-12,1
Camarines Sur,2020-03-10,1
Camarines Sur,2020-03-11,0
Camarines Sur,2020-03-12,0
Camarines Sur,2020-03-13,0
Camarines Sur,2020-03-14,0
Camarines Sur,2020-03-15,0
Camarines Sur,2020-03-16,0
Camarines Sur,2020-03-17,0
Camarines Sur,2020-03-18,0
Camarines Sur,2020-03-19,0
Camarines Sur,2020-03-20,0
Camarines Sur,2020-03-21,0
